check_name,severity,result,observed,expected,description
date_dim_contiguous,FAIL,PASS,777,777,dim_date must contain every date between its min and max with no gaps
demand_non_negative,FAIL,PASS,0,0,demand_mw must never be negative
error_arithmetic_consistent,FAIL,PASS,0,0,forecast_error_mw must equal demand_mw - forecast_mw within rounding
fact_ba_orphans,FAIL,PASS,0,0,every fact_load_hour.ba_code must exist in dim_ba
fact_date_orphans,FAIL,PASS,0,0,every fact_load_hour.date_key must exist in dim_date
fact_grain_unique,FAIL,PASS,110736,110736,"fact_load_hour must hold exactly one row per (ba_code, period_utc)"
ba_day_hour_coverage,WARN,PASS,0,0,complete past BA-days should hold 23-25 hours (DST-aware); count of violations
data_freshness_hours,WARN,PASS,1,6,newest actual demand hour should be within 6 hours of now
forecast_coverage,WARN,PASS,513,5517,fewer than 5% of gradeable hours should be missing a day-ahead forecast
mape_plausible,WARN,PASS,373,400,overall MAPE should fall in 0.2%-15% (value shown in basis points)
no_demo_data,WARN,PASS,0,0,curated output must contain no synthetic rows before publication
weather_join_coverage,WARN,PASS,0,2207,fewer than 2% of gradeable hours should be missing weather
